time,l_mean,l_median,l_std,l_skew,l_n,l_min,l_max,l_amp,l_quad2h,l_lin1100s,acoust,lid_6m_quad
2018-04-05 11:46:49.294280,2.6690768344471154,2.66,0.0915252431532388,1.398381226431767,303770.0,2.33,3.122,20084.303137241994,2.6723825463016753,2.6695202541047474,1.766103101168016,2.6717812747728824
2018-04-15 09:45:21.524500,3.2105526096093495,3.2,0.07939703550503333,1.5614630082212901,208422.0,2.832,3.625,19254.348643617275,3.2116404352995715,3.2104739725623292,1.199169427791148,3.209534400993961
2018-04-25 07:43:53.602570,2.7748342559530945,2.766,0.07384363728307568,2.2594864772918797,250374.0,2.518,3.433,19698.55475808191,2.7806420400660516,2.7748422534289134,1.6783137173672125,2.7806420995529564
2018-05-05 05:42:25.560190,1.9177874539928217,1.907,0.09380731539111761,0.9977369339077689,174701.0,1.488,2.388,16295.208287302305,1.9080802112694233,1.9152919431985196,2.5180017499430187,1.909652647707956
2018-05-15 03:40:57.385530,1.3842758680795564,1.354,0.14344302823363414,1.366115019071495,166373.0,0.691,2.105,17615.708582522406,1.3827983979207235,1.3837127758434926,3.0724542900639045,1.3828056964466424
2018-05-25 01:39:29.142160,1.7180727030776826,1.707,0.09154408414379113,1.2899122556090283,299836.0,1.258,2.176,16603.795621606478,1.7108863054223686,1.7179691698417703,2.7472559297690564,1.7106897355595916
2018-06-03 23:38:00.915610,2.2558112040107248,2.261,0.09018389843199903,0.5817388085034993,567279.0,1.867,2.727,16525.807246522436,2.2586985841734597,2.2553956015002457,2.1827960747598936,2.2972758712839463
2018-06-13 21:36:32.719890,2.6845784979731167,2.667,0.09241054716558647,2.1357197404922252,234350.0,2.39,3.156,16982.513791337744,2.6782308822259124,2.684513436785512,1.7988889238633945,2.677395820411912
2018-06-23 19:35:04.528040,2.7847573823760414,2.776,0.06199636164570244,2.279314730536255,315752.0,2.503,3.128,18925.639109174288,2.7884462021924157,2.7849151027949612,1.713501111112217,2.78728880993074
2018-07-03 17:33:36.116120,2.6903602559265547,2.682,0.07872600145055496,1.7904526084181591,318060.0,2.386,3.102,18489.67861724203,2.7046781146609202,2.6926825220799713,1.8013718178546017,2.705060436405599
2018-07-13 15:32:07.462260,2.497538594354883,2.491,0.09378683685911385,0.8993553853234918,330126.0,2.143,2.966,18383.2260227913,2.496788733237622,2.494032246805317,2.0701237856925263,2.4914949086575198
2018-07-23 13:30:38.631610,2.360718144500498,2.353,0.08552105486735012,1.43983833328997,248968.0,2.01,2.821,17289.01836782237,2.3604238194033282,2.3600851249077657,2.132870341094704,2.3595950841310462
2018-08-02 11:29:09.662510,2.510878706120537,2.496,0.0901287167877474,2.080229032839599,239064.0,2.215,2.989,17303.24744001606,2.5211938030252754,2.507680934830438,1.9475480546522332,2.5216826222922584
2018-08-12 09:27:40.516080,2.8751441400974427,2.871,0.10918528808762543,0.546936774344735,333939.0,2.507,3.412,18307.986970674287,2.8862446224520704,2.879349267730803,1.5570705895257009,2.8844167937675644
2018-08-22 07:26:11.609190,2.895668956104434,2.9,0.06172934131783453,0.33176943467129727,363408.0,2.633,3.221,21338.76583894686,2.8883901290652245,2.8922625156116006,1.5684770855552987,2.8863349390823
2018-09-01 05:24:43.768710,2.417943049214075,2.408,0.09278856942442598,1.5953490264601344,265229.0,2.119,2.889,18446.173314381158,2.4252815247202597,2.4177527257295672,2.0818047632828587,2.4210923813686414
2018-09-11 03:23:15.772510,1.849870106534815,1.843,0.11949319723051326,0.6286010312756096,235416.0,1.282,2.525,18279.698737553947,1.843613893953654,1.8562110455613365,2.6580802505353094,1.8498398397653537
2018-09-21 01:21:47.738690,1.703681025015653,1.691,0.09155787907578815,1.466780659910319,305049.0,1.259,2.16,17894.021881730478,1.7046435072064772,1.70530281525728,2.7568340034623673,1.7050364258416735
2018-09-30 23:20:19.693220,2.1163065134472805,2.111,0.08002670594867593,0.9998364773730077,513338.0,1.73,2.546,16266.060159193357,2.119706313029133,2.1160048455598823,2.3035237641809148,2.1114978377133697
2018-10-10 21:18:51.638280,2.4794210390555813,2.473,0.09857627562300998,0.8202459929721638,348913.0,2.141,2.986,17106.691888808957,2.481616262970804,2.477876620511803,1.9531013819200516,2.4802798413893536
2018-10-20 19:17:23.427660,2.547483553280243,2.542,0.07171489230310128,1.6687467887274816,263700.0,2.223,2.943,19793.930690178233,2.5563924533635363,2.55029933476387,1.9264693921685188,2.55277453793723
2018-10-30 17:15:54.919660,2.0324621011424457,2.025,0.08063229375678198,1.1521532117377882,312925.0,1.604,2.464,18622.92152752257,2.031940204240505,2.0358856083491097,2.4742579242644362,2.0321606394687266
2018-11-09 15:14:26.159500,1.71636787599264,1.702,0.11903158078895568,0.900486373334473,165216.0,1.172,2.299,18903.67323382723,1.7145578363984972,1.7201193827510983,2.8072173428312213,1.7153868031638457
2018-11-19 13:12:57.212330,1.6861548923020442,1.67,0.10982623802895414,1.1678138915212184,261472.0,1.161,2.231,19691.939454320156,1.682521759190902,1.686337626956819,2.763658152487706,1.6820057166009486
2018-11-29 11:11:28.133830,1.828911235799603,1.821,0.09570109318535448,0.798184568269881,325255.0,1.346,2.301,16849.52350002306,1.8313721878427862,1.8289957514126796,2.6295397316526268,1.8318477569674856
2018-12-09 09:09:58.993470,2.3878290369970427,2.377,0.08140822371789014,1.7760312175437227,318566.0,2.15,2.83,19449.09130917926,2.3891587286015583,2.3897866449284817,2.150572263115492,2.387210430911508
2018-12-19 07:08:29.796200,2.7660909601443695,2.755,0.10037061580985845,1.224748788928268,292029.0,2.454,3.279,19520.884193008227,2.7664673172584955,2.766265281946664,1.7340017661047853,2.766499614338555
2018-12-29 05:07:02.054100,3.1364136590633023,3.128,0.07091245187563874,1.5308384520342386,259315.0,2.797,3.505,19714.92102655072,3.1431994290429692,3.137402860069246,1.3057054467814289,3.1425877038896544
2019-01-08 03:05:34.213600,2.962758170221883,2.958,0.084716245623949,0.8340273482218571,182033.0,2.674,3.38,20071.35025517351,2.9661101222762696,2.9665387499408458,1.5353019911933083,2.970331061544401
2019-01-18 01:04:06.345150,2.5527427996605314,2.538,0.12096895430103548,1.0745942490891223,336998.0,2.201,3.138,18166.77005798254,2.554069968515915,2.5517139832504725,2.0113839665714015,2.5537584959572155
2019-01-27 23:02:38.490030,2.7135597457685154,2.962,0.40906375071175904,-0.2132654048505435,584192.0,1.987,4.758,18359.645469297764,2.734818307814579,2.7136353731556238,2.243949020068723,2.247979609323974
2019-02-06 21:01:10.579820,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9995298996926936,NaN
